"","Date","Total.ST","Total.ST.min","Total.ST.min.true","Total.ST.match","Social.ST","Social.ST.min","Social.ST.min.true","Social.ST.match","ID","Pickups","Pickup.1st","Daily.Social.Prop","Daily.Duration.Use","Date.ID","Day.Number","Weekdays","Pickup.1st.angular","workmate","academic","non.academic","pets","sex","age","course_hours","degree","job","siblings","apps","devices","procrastination"
"1","1/1/2024","10h45m",645,645,TRUE,"8h2m",482,482,TRUE,1,80,2024-02-22 08:12:00,0.7472868217,8.0625,1,1,1,123,0,0,1,0,0,22,11.5,1,1,1,3,4,50
"2","1/2/2024","12h15m",735,735,TRUE,"11h28m",688,688,TRUE,1,88,2024-02-22 10:30:00,0.9360544218,8.352272727,2,2,1,157.5,0,0,1,0,0,22,11.5,1,1,1,3,4,50
"3","1/3/2024","9h55m",595,595,TRUE,"7h58m",478,478,TRUE,1,120,2024-02-22 12:20:00,0.8033613445,4.958333333,3,3,1,185,0,0,1,0,0,22,11.5,1,1,1,3,4,50
"4","1/4/2024","13h15m",795,795,TRUE,"10h55m",655,655,TRUE,1,75,2024-02-22 13:01:00,0.8238993711,10.6,4,4,1,195.25,0,0,1,0,0,22,11.5,1,1,1,3,4,50
"5","1/5/2024","8h20m",500,500,TRUE,"7h",420,420,TRUE,1,120,2024-02-22 11:18:00,0.84,4.166666667,5,5,1,169.5,0,0,1,0,0,22,11.5,1,1,1,3,4,50
"6","1/6/2024","14h48m",888,888,TRUE,"11h58m",718,718,TRUE,1,129,2024-02-22 10:12:00,0.8085585586,6.88372093,6,6,0,153,0,0,1,0,0,22,11.5,1,1,1,3,4,50
"7","1/7/2024","13h50m",830,830,TRUE,"10h50m",650,650,TRUE,1,93,2024-02-22 11:47:00,0.7831325301,8.924731183,7,7,0,176.75,0,0,1,0,0,22,11.5,1,1,1,3,4,50
"8","1/8/2024","15h7m",907,907,TRUE,"12h34m",754,754,TRUE,1,30,2024-02-22 14:03:00,0.8313120176,30.23333333,8,1,1,210.75,0,0,1,0,0,22,11.5,1,1,1,3,4,50
"9","1/9/2024","11h38m",698,698,TRUE,"7h10m",430,430,TRUE,1,50,2024-02-22 13:33:00,0.6160458453,13.96,9,2,1,203.25,0,0,1,0,0,22,11.5,1,1,1,3,4,50
"10","1/10/2024","10h20m",620,620,TRUE,"7h56m",476,476,TRUE,1,98,2024-02-22 07:30:00,0.7677419355,6.326530612,10,3,1,112.5,0,0,1,0,0,22,11.5,1,1,1,3,4,50
"11","1/11/2024","7h45m",465,465,TRUE,"4h14m",254,254,TRUE,1,76,2024-02-22 10:24:00,0.5462365591,6.118421053,11,4,1,156,0,0,1,0,0,22,11.5,1,1,1,3,4,50
