ID,Date,Total.ST,Total.ST.min,Social.ST,Social.ST.min,Pickups,Pickup.1st,Daily.Social.Prop,Daily.Duration.Use,Date.ID,Day.Number,Weekdays
1,1/1/2024,10h45m,645,8h2m,482,80,8:12,0.7472868217,8.0625,1,1,1
1,1/2/2024,12h15m,735,11h28m,688,88,10:30,0.9360544218,8.352272727,2,2,1
1,1/3/2024,9h55m,595,7h58m,478,120,12:20,0.8033613445,4.958333333,3,3,1
1,1/4/2024,13h15m,795,10h55m,655,75,13:01,0.8238993711,10.6,4,4,1
1,1/5/2024,8h20m,500,7h,420,120,11:18,0.84,4.166666667,5,5,1
1,1/6/2024,14h48m,888,11h58m,718,129,10:12,0.8085585586,6.88372093,6,6,0
1,1/7/2024,13h50m,830,10h50m,650,93,11:47,0.7831325301,8.924731183,7,7,0
1,1/8/2024,15h7m,907,12h34m,754,30,14:03,0.8313120176,30.23333333,8,1,1
1,1/9/2024,11h38m,698,7h10m,430,50,13:33,0.6160458453,13.96,9,2,1
1,1/10/2024,10h20m,620,7h56m,476,98,7:30,0.7677419355,6.326530612,10,3,1
1,1/11/2024,7h45m,465,4h14m,254,76,10:24,0.5462365591,6.118421053,11,4,1
1,1/12/2024,8h35m,815,5h10m,310,100,12:12,0.3803680982,8.15,12,5,1
1,1/13/2024,6h45m,885,5h28m,328,90,12:55,0.3706214689,9.833333333,13,6,0
1,1/14/2024,10h8m,608,7h40m,460,100,13:29,0.7565789474,6.08,14,7,0
1,1/15/2024,9h22m,562,6h20m,380,115,8:20,0.6761565836,4.886956522,15,1,1
1,1/16/2024,9h33m,573,6h28m,388,121,8:47,0.6771378709,4.73553719,16,2,1
1,1/17/2024,7h38m,458,5h28m,328,96,8:59,0.7161572052,4.770833333,17,3,1
1,1/18/2024,8h45m,525,5h21m,321,121,8:50,0.6114285714,4.338842975,18,4,1
1,1/19/2024,12h40m,760,9h2m,542,88,12:22,0.7131578947,8.636363636,19,5,1
1,1/20/2024,15h45m,945,11h28m,668,21,14:24,0.7068783069,45,20,6,0
1,1/21/2024,15h15m,915,11h42m,702,52,11:10,0.7672131148,17.59615385,21,7,0
1,1/22/2024,10h2m,602,6h56m,416,100,9:30,0.6910299003,6.02,22,1,1
1,1/23/2024,9h51m,861,5h41m,341,104,7:50,0.3960511034,8.278846154,23,2,1
1,1/24/2024,11h35m,695,5h20m,320,81,9:40,0.4604316547,8.580246914,24,3,1
1,1/25/2024,8h41m,521,5h38m,338,74,7:45,0.6487523992,7.040540541,25,4,1
1,1/26/2024,12h37m,757,9h24m,564,93,10:40,0.7450462351,8.139784946,26,5,1
1,1/27/2024,13h50m,830,11h40m,700,39,13:39,0.843373494,21.28205128,27,6,0
1,1/28/2024,14h46m,886,12h10m,730,29,11:06,0.8239277652,30.55172414,28,7,0
1,1/29/2024,12h11m,731,8h2m,482,101,9:05,0.659370725,7.237623762,29,1,1
